ID,lat,lon,crdsprov.est,age,period,min_ma,max_ma
4,-37.376684,145.997478,est,ED,EMS,402.8333333,393.3
8,-35.08377,148.639887,est,ED,EMS,398.0666667,393.3
37,47.99275,-66.72882,est,ED,EMS,407.6,393.3
40,45.75468,-62.17506,est,ED,EMS,407.6,393.3
45,48.78351,-66.28283,est,ED,EMS,407.6,402.8333333
46,48.31303,-67.23901,est,ED,EMS,407.6,402.8333333
47,48.82701,-64.31046,est,ED,EMS,407.6,402.8333333
48,48.73144,-64.30455,est,ED,EMS,407.6,402.8333333
51,25.54167,102.4325,est,LD,EMS,398.0666667,393.3
105,50.97213866,20.8055087,est,ED,EMS,398.0666667,393.3
106,50.8714866,21.14270488,est,ED,EMS,398.0666667,393.3
174,17.6530064,106.516611,est,ED,EMS,407.6,393.3
44,48.78366,-66.08268,est,ED,EMS,407.6,402.8333333
