ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
6,AUS,NSW,Forbes,-33.58864005,148.5691762,est,LD,FAM,372.2,367.7666667
9,AUS,NSW,Grenfell,-33.75611,148.3217,est,LD,FAM,363.3333333,358.9
11,AUS,NSW,Canowindra (Kalang-Nyrang Creek),-33.56028,148.5331,est,LD,FAM,367.7666667,363.3333333
18,BEL,,Modave,50.44037,5.27953,est,LD,FAM,363.3333333,358.9
19,BEL,,Becco,50.50263825,5.78832611,est,LD,FAM,363.3333333,358.9
20,BEL,,Strud,50.44082774,5.04417898,est,LD,FAM,363.3333,358.9
23,BEL,,Dinant,50.270855,4.911189,est,LD,FAM,,
24,BEL,,Chevremont,50.5916,5.646236,est,LD,FAM,,
25,BEL,,Durnal,50.328769,4.984201,est,LD,FAM,,
26,BEL,,Spontin,50.32793,5.00921,est,LD,FAM,,
32,BRA,,Campo Maior,-4.363634,-39.192742,est,LD,FAM,363.3333,358.9
59,CHN,,Zhongning,37.33403,105.26587,est,LD,FAM,363.3333,358.9
68,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,367.7667
69,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,367.7667
73,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,358.9
74,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,358.9
75,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,358.9
76,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,372.2,358.9
78,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,363.3333,358.9
79,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,363.3333,358.9
80,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FAM,363.3333,358.9
81,GBR,,Portishead,51.48827982,-2.78083307,est,LD,FAM,372.2,358.9
92,IRN,,Chahriseh,30.5,56.5,est,LD,FAM,372.2,358.9
95,LVA,,Pavari FA,56.69467564,22.16113602,est,LD,FAM,363.3333,358.9
99,MNG,,Hushoot Shiveetiin gol section,45.273,91.0525,est,LD,FAM,367.7667,363.3333
100,MAR,,Hamar Lagdad,31.38066584,-4.05767354,est,LD,FAM,372.2,358.9
101,MAR,,Oued Chebbi,31.25004759,-3.81925845,est,LD,FAM,372.2,358.9
102,MAR,,Madene,29.72733258,-8.96275875,est,LD,FAM,367.7667,363.3333
111,RUS,,Oryol Region,52.88790634,36.03417908,est,LD,FAM,372.2,358.9
112,RUS,,Andreyevka-2,54.12826099,36.5592166,est,LD,FAM,372.2,358.9
115,GBR,,Mill Rock,51.14336249,-4.25503338,est,LD,FAM,372.2,367.7667
129,ZAF,,Waterloo Farm,-27.66101417,30.43475138,est,LD,FAM,363.3333,358.9
135,THA,,Mae Sam Lap,17.975,97.73917,est,LD,FAM,363.3333,358.9
138,TUR,,Koprulu black shale,36.76151863,32.18052055,est,LD,FAM,372.2,358.9
143,USA,CO,Endlich Mesa,37.51443022,-107.59664,est,LD,FAM,372.2,358.9
144,USA,CO,Parting,39.16608855,-106.3875618,est,LD,FAM,363.3333,358.9
145,USA,CO,White River Plateau,39.75966842,-107.3808475,est,LD,FAM,363.3333,358.9
152,USA,OH,Cleveland FA,39.4,-83.6,est,LD,FAM,372.2,358.9
153,USA,PN,Red Hill,40.36369,-75.47625,est,LD,FAM,363.3333,358.9
154,USA,PN,Route 15 Tioga Co,41.79108961,-77.10137405,est,LD,FAM,363.3333,358.9
155,USA,PN,Lycoming Co,41.43028615,-76.99999545,est,LD,FAM,363.3333,358.9
156,USA,PN,Howard Falls,41.95584,-80.22871,est,LD,FAM,367.7667,363.3333
162,VNM,,Zom Nha,17.79920722,105.968472,est,LD,FAM,372.2,367.7667
