ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
5,AUS,VIC,Bindaree Road,-37.196861,146.630531,est,LD,FRAS,382.7,379.2
7,AUS,NSW,Eden Pambula,-36.95610046,149.7910747,est,LD,FRAS,382.7,379.2
12,AUS,VIC,Taggerty,-37.40036721,145.754494,est,LD,FRAS,382.7,379.2
13,AUS,VIC,Mansfield South Blue Range,-37.077207,146.072598,est,LD,FRAS,382.7,379.2
14,AUS,VIC,Freestone Creek,-37.85233198,147.084131,est,LD,FRAS,382.7,379.2
37,CAN,QC,Miguasha,48.10338,-66.348857,est,LD,FRAS,379.2,375.7
38,CAN,NU,Nunavut,77.164917,-86.269283,est,LD,FRAS,382.7,372.2
45,CAN,ON,Kettle Point,43.17929946,-82.01825252,est,LD,FRAS,382.7,358.9
52,CHN,,Changyang,29.88935773,111.5348614,est,LD,FRAS,382.7,372.2
53,CHN,,Longmenshan,32.03528,105.1444,est,LD,FRAS,382.7,372.2
67,COL,,Floresta area,5.860333,-72.94933,est,LD,FRAS,382.7,375.7
70,DNK,,East Greenland,73.42223414,-23.28723508,est,LD,FRAS,382.7,379.2
82,EST,,Meeksi Mill outcrop,58.24394873,27.40492878,est,LD,FRAS,382.7,379.2
84,FRA,,Carriere du Griset,50.82782003,1.74617515,est,LD,FRAS,379.2,375.7
85,DEU,,Bergisch-Gladbach,50.99188547,7.15007136,est,LD,FRAS,382.7,379.2
86,DEU,,Bad Wildungen,51.14193473,9.09454808,est,LD,FRAS,375.7,372.2
88,DEU,,Bicken,50.695011,8.3825797,est,LD,FRAS,379.2,372.2
89,IRN,,Ravar,31.24922585,56.78180435,est,LD,FRAS,382.7,379.2
90,IRN,,Charhriseh,32.99113261,52.08885819,est,LD,FRAS,382.7,379.2
91,IRN,,Kerman Region (20),30.22192645,56.99647516,est,LD,FRAS,382.7,375.7
94,LVA,,Koknese Fre,56.64741949,25.44993723,est,LD,FRAS,382.7,379.2
103,POL,,Holy Cross Mountains FRl,50.87334962,20.57250899,est,LD,FRAS,382.7,372.2
107,POL,,Holy Cross Mountains FRm,50.87334962,20.57250899,est,LD,FRAS,379.2,375.7
108,RUS,,Piskovichi outcrops,57.84252317,28.25827917,est,LD,FRAS,382.7,379.2
109,RUS,,Snetnaya Gora outcrops,57.83577551,28.26076014,est,LD,FRAS,382.7,379.2
110,RUS,,Velikaya River Pskov Region,57.83577551,28.26076014,est,LD,FRAS,382.7,379.2
113,RUS,,Pskov FR,57.84252317,28.25827917,est,LD,FRAS,382.7,372.2
114,RUS,,Sjass FR,59.89087286,32.80161418,est,LD,FRAS,382.7,372.2
116,SCOT,,Whitemire FR,57.66227084,-2.97675953,est,LD,FRAS,382.7,379.2
119,SCOT,SCOT,Scaat Craig,57.6083,-3.28422,est,LD,FRAS,375.7,372.2
139,TUR,,Armutgozlek Tepe,36.7472096,30.52523033,est,LD,FRAS,382.7,372.2
140,USA,AR,Red Hill,33.40323064,-110.8920219,est,LD,FRAS,382.7,379.2
141,USA,AR,Mt Elden,35.25581088,-111.6066581,est,LD,FRAS,382.7,372.2
142,USA,AR,Jerome localities,34.75819033,-112.1156842,est,LD,FRAS,375.7,372.2
149,USA,NY,18 Mile Creek,42.7182,-78.96863,est,LD,FRAS,382.7,379.2
157,VEN,,Cano Colorado Sur,9.8487,-62.9993,est,LD,FRAS,384.3667,375.7
120,SCOT,SCOT,Nairn GIFR,57.57770793,-3.8627914,est,LD,FRAS,387.7,372.2
