ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
1,AUT,,Skelton-MacKay,-77.78333,160.4667,prov,MD,GIV,387.7,372.2
2,AUS,VIC,Tatong,-36.75,146.0667,est,MD,GIV,384.3666667,379.2
3,AUS,WA,Gogo,-18.3,126.5,prov,MD,GIV,386.0333333,379.2
10,AUS,NSW,Eden Pambula,-36.95610046,149.7910747,est,MD,GIV,384.3666667,379.2
15,AUS,VIC,Mt Howitt Spur,-37.17467173,146.6484609,est,MD,GIV,384.3666667,382.7
17,BEL,,Hingeon,50.511666,5.040398,est,MD,GIV,387.7,372.2
27,BOL,,Copacabana Section,-16.180183,-69.054204,est,MD,GIV,389.5667,382.7
31,BOL,,Altiplano,-19.873683,-65.551679,est,MD,GIV,389.5667,382.7
42,CAN,AL,Wapiti Mountain,51.72694814,-115.7566764,est,MD,GIV,384.3667,382.7
50,CHN,,Heyuanzhai,24.69436848,99.1282767,est,MD,GIV,,
58,CHN,,Longmenshan,32.03528,105.1444,est,MD,GIV,384.3667,382.7
77,DNK,,East Greenland,73.42223414,-23.28723508,est,MD,GIV,387.7,382.7
83,FRA,,Carriere la Parisienne,50.83276124,1.78781164,est,MD,GIV,387.7,382.7
87,DEU,,Gerolstein,50.22029428,6.63004519,est,MD,GIV,384.3667,382.7
93,IRN,,Soh,33.43578364,51.45786917,est,MD,GIV,387.7,382.7
96,LVA,,Straupe,57.35501697,24.97067286,est,MD,GIV,384.3667,382.7
97,LVA,,Pasta Muiza Fre,56.6267443,25.45696283,est,MD,GIV,384.3667,382.7
104,POL,,Zachelmie Quarry,50.96871097,20.69215776,est,MD,GIV,387.7,382.7
121,SCOT,SCOT,Elgin GI,57.65558416,-3.35648748,est,MD,GIV,384.3667,382.7
122,SCOT,SCOT,Holborn Head Quarry,58.61811108,-3.58658408,est,MD,GIV,384.3667,382.7
127,ZAF,,Grootrivier,-33.37251356,24.35475223,est,MD,GIV,387.7,382.7
128,ZAF,,Warmwaterberg,-33.78457514,20.75354683,est,MD,GIV,387.7,382.7
130,ZAF,,Cederberg,-32.8567696,19.4422701,est,MD,GIV,387.7,382.7
148,USA,MI,Rockport Quarry,45.20323,-83.38494,est,MD,GIV,387.7,382.7
150,USA,NY,Cairo,42.30434,-74.00978,est,MD,GIV,384.3667,382.7
158,VNM,,Dong Tho,17.64945134,106.5112017,est,MD,GIV,387.7,379.2
163,VNM,,Song Hong,22.49999902,105.2281474,est,MD,GIV,387.7,382.7
