ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
28,BOL,,La Paz,-17.342365,-67.75827,est,ED,LOCH,419.2,416.4
29,BOL,,Seripona-La Higuera,-18.79478457,-64.20065597,est,ED,LOCH,413.6,410.8
34,BRA,,Cachoeira da Porteira,-3.226565,-60.934135,est,ED,LOCH,427.4,410.8
41,CAN,NB,Dalhousie,48.057645,-66.370831,est,ED,LOCH,419.2,410.8
44,CAN,NWT,Man on the Hill (MOTH),62.5361638,-127.7523907,est,ED,LOCH,419.2,410.8
133,ESP,,Aragon,41.06828953,-1.07250794,est,ED,LOCH,419.2,407.6
134,ESP,,Aragon,41.12061322,-1.59887761,est,ED,LOCH,419.2,407.6
161,VNM,,Dong Van Trang Xa,17.65301,106.51661,est,ED,LOCH,413.6,409.7333
165,VNM,,Tong Vai,23.18333,105.1,prov,ED,LOCH,416.4,410.8
166,VNM,,Mia Le,23.3,105.3,prov,ED,PRAG,410.8,407.6
