ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
123,SCOT,SCOT,Birk Knowes,55.6292084,-3.9011889,est,SL,LLA,436.8667,433.4
124,SCOT,SCOT,Ree Burn Douglas Water,55.52148279,-3.96162322,est,SL,LLA,436.8667,433.4
125,SCOT,SCOT,Dunside,55.61175088,-3.9885756,est,SL,LLA,436.8667,433.4
61,CHN,,Qujing,25.4833,103.783,est,SL,LUD,425.6,419.2
62,CHN,,Qujing,25.44982866,103.7533808,est,SL,LUD,427.4,423
63,CHN,,Qujing,25.4833,103.783,est,SL,LUD,427.4,423
39,CAN,ON,Ridgemont Quarries,42.924431,-79.00942,est,SL,PRID,420.4667,419.2
64,CHN,,Qujing,25.4833,103.783,est,SL,PRID,423,419.2
126,SCOT,SCOT,Slot Burn (Segholm),55.55633809,-4.10956498,est,SL,PRID,423,419.2
164,VNM,,Lung Co-Mia Le,23.30876,105.3665858,est,SL,PRID,424.4667,421.7333
117,SCOT,SCOT,Shiel Burn Monks Water,55.54625471,-3.93604962,est,SL,WEN,433.4,431.4
118,SCOT,SCOT,Dippal Burn,55.56706262,-4.06182404,est,SL,WEN,433.4,431.4
159,VNM,,My Duc,22.60972,105.6632,est,SL,WEN,433.4,419.2
66,CHN,,Dongpo,25.44030489,103.6953066,est,SL,,,
136,THA,,Mae Sariang,18.35502086,97.73378037,est,SL,,,
