ID,cntry,state,locality,lat,lon,crdsprov.est,age,period,min_ma,max_ma
1,AUT,,Skelton-MacKay,-77.78333000,160.46670000,prov,MD,GIV,387.7,372.2
2,AUS,VIC,Tatong,-36.75000000,146.06670000,est,MD,GIV,384.3666667,379.2
3,AUS,WA,Gogo,-18.30000000,126.50000000,prov,MD,GIV,386.0333333,379.2
4,AUS,VIC,Hills locality,-37.37668400,145.99747800,est,ED,EMS,402.8333333,393.3
5,AUS,VIC,Bindaree Road,-37.19686100,146.63053100,est,LD,FRAS,382.7,379.2
6,AUS,NSW,Forbes,-33.58864005,148.56917619,est,LD,FAM,372.2,367.7666667
7,AUS,NSW,Eden Pambula,-36.95610046,149.79107465,est,LD,FRAS,382.7,379.2
8,AUS,NSW,Wee Jasper,-35.08377000,148.63988700,est,ED,EMS,398.0666667,393.3
9,AUS,NSW,Grenfell,-33.75611000,148.32170000,est,LD,FAM,363.3333333,358.9
10,AUS,NSW,Eden Pambula,-36.95610046,149.79107465,est,MD,GIV,384.3666667,379.2
11,AUS,NSW,Canowindra (Kalang-Nyrang Creek),-33.56028000,148.53310000,est,LD,FAM,367.7666667,363.3333333
12,AUS,VIC,Taggerty,-37.40036721,145.75449402,est,LD,FRAS,382.7,379.2
13,AUS,VIC,Mansfield South Blue Range,-37.07720700,146.07259800,est,LD,FRAS,382.7,379.2
14,AUS,VIC,Freestone Creek,-37.85233198,147.08413103,est,LD,FRAS,382.7,379.2
15,AUS,VIC,Mt Howitt Spur,-37.17467173,146.64846091,est,MD,GIV,384.3666667,382.7
16,BLR,,Bobruysk,53.07644859,29.36111635,est,ED,EMS,398.0666667,393.3
17,BEL,,Hingeon,50.51166600,5.04039800,est,MD,GIV,387.7,372.2
18,BEL,,Modave,50.44037000,5.27953000,est,LD,FAM,363.3333333,358.9
19,BEL,,Becco,50.50263825,5.78832611,est,LD,FAM,363.3333333,358.9
20,BEL,,Strud,50.44082774,5.04417898,est,LD,FAM,363.3333,358.9000
21,BEL,,Lesse,50.06403600,5.14917700,est,,,,
22,BEL,,Bonne,50.45355300,5.28294900,est,,,,
23,BEL,,Dinant,50.27085500,4.91118900,est,LD,FAM,,
24,BEL,,Chevremont,50.59160000,5.64623600,est,LD,FAM,,
25,BEL,,Durnal,50.32876900,4.98420100,est,LD,FAM,,
26,BEL,,Spontin,50.32793000,5.00921000,est,LD,FAM,,
27,BOL,,Copacabana Section,-16.18018300,-69.05420400,est,MD,GIV,389.5667,382.7000
28,BOL,,La Paz,-17.34236500,-67.75827000,est,ED,LOCH,419.2000,416.4000
29,BOL,,Seripona-La Higuera,-18.79478457,-64.20065597,est,ED,LOCH,413.6000,410.8000
30,BOL,,Icla,-19.36271400,-64.79567800,est,,,,
31,BOL,,Altiplano,-19.87368300,-65.55167900,est,MD,GIV,389.5667,382.7000
32,BRA,,Campo Maior,-4.36363400,-39.19274200,est,LD,FAM,363.3333,358.9000
